id,ENG,HIN
5692,I D U K I,इ ड ु क ी
5693,L A N D M A R K _ U N I T E D _ M E T H O D I S T,ल ै ं ड म ा र ् क _ य ू न ा इ ट े ड _ म े थ ो ड ि स ् ट
5694,P R A G A T I,प ् र ग त ि
5695,D E E P _ S E A _ D I V I N G,ड ी प _ स ी _ ड ा इ व ि ं ग
5696,V A J R A M A N I,व ज ् र म ण ि
5697,R O B E R T _ D O W N I N G _ J U N I O R,र ॉ ब र ् ट _ ड ा उ न ि ं ग _ ज ् य ु न ि य र
5698,H A N N A H,ह न ् न ा ह
5699,M U S E U M _ O F _ A R C H E O L O G Y _ A N D _ E T H N O L O G Y,म ् य ु ज़ ि य म _ ऑ फ _ आ र ् क ो ल ॉ ज ी _ ए ण ् ड _ ए थ न ो ल ॉ ज ी
5700,G U R L E E N,ग ु र ल ी न
5701,R A N G E E N _ K A H A N I,र ं ग ी न _ क ह ा न ी
5702,R E D D Y S _ L A B S,र े ड ् ड ी _ ल ै ब ् स
5703,O M A R _ K H A Y Y A M,ओ म र _ ख य ् य म
5704,A M A N D E E P,अ म न द ी प
5705,A B H A,आ भ ा
5706,A P P L E B E E,ए प ल ब ी
5707,C H H O T A _ G U D H A,छ ो ट ा _ ग ु ध ा
5708,R A T N A P A R K H I,र त ् न प ा र ख ी
5709,S I B S O N,स ि ब ् स न
5710,D E M E T E R,ड ि म ी ट र
5711,K E E R T H I _ R A N A S I N G H E,क ि र ् त ि _ र ा ण ा स ि ं घ े
5712,P U R N A N A D,प ू र ् ण न ा द
5713,G A U T A M,ग ौ त म
5714,C O R I N E,क ो र ि न
5715,U N A,य ू न ा
5716,R A N A V E E R,र ण व ी र
5717,D A R R I U S,ड ै र ि य स
5718,L A K E _ D I S T R I C T,ल े क _ ड ि स ् ट ् र ी क ् ट
5719,K U N D A N I K A,क ु न ् द न ि क ा
5720,N I S H A N,न ि श ा न
5721,B A N G U I,ब ै ं ग ई
5722,H A B I B,ह ब ी ब
5723,N I Z A M B A D,न ि ज ा म ब ा द
5724,E K _ K U N W A R I _ E K _ K U N W A R A,ए क _ क ु ँ व ा र ी _ ए क _ क ु ँ व ा र ा
5725,A S H A P U R N A _ D E V I,आ श ा प ू र ् ण ा _ द े व ी
5726,B A A N K E B I H A R I,ब ा ं क े ब ि ह ा र ी
5727,G H U S U N,ग ़ ु स न
5728,A S H L E Y _ N O F F K E,ए श ल े _ न ॉ फ क ी
5729,V I V E K A A N A N D,व ि व े क ा न ं द
5730,O R D E R _ O F _ W I L L I A M,ऑ ड र _ ऑ फ़ _ व ि ल ि य म
5731,S H E R G I L L,श े र ग ि ल
5732,A L B A,अ ल ् ब ा
5733,S A R A Y U,स र य ू
5734,P A R A Y U S H,प र य ु श
5735,O R I E N T A L _ H O T E L S,ओ र ि ए ं ट ल _ ह ो ट ल ् स
5736,D A U R A L A,द ौ र ा ल ा
5737,A D I T Y A,अ द ि त ् य ा
5738,A D I T Y A,आ द ि त ् य
5739,A M E T H I,अ म े ठ ी
5740,B I R A M B A D,ब ि र ा म ब ा द
5741,G U R M U R A,ग ु र म ु र ा
5742,C H A R L O T T E,क ा र ् ल ो ट
5743,V E R O N I Q U E,व े र ो न ि क
5744,D O B B E L A A R,ड ो ब े ल ा र
5745,S W I M M I N G,स ् व ि म ि ं ग
5746,W A L K E R,व ॉ क र
5747,D U N I Y A _ G O L _ H A I,द ु न ि य ा _ ग ो ल _ ह ै
5748,V I K R A M _ S O L A N K I,व ि क ् र म _ स ो ल ं क ी
5749,G I N N Y,ज ी न ी
5750,U L L A,य ू ल ा
5751,C H E U N G _ K O N G _ C E N T R E,च े य ू ं ग _ क ा ँ ग _ स े न ् ट र
5752,C A R D I G A N,क ा र ् ड ि ग न
5753,G U R J A S,ग ु र ज स
5754,S U M I T A,स ु म ि त ा
5755,O Z Z Y,ओ ज़ ् ज़ ी
5756,A A H U T I,आ ह ु त ी
5757,D H U L G H A T,ध ु ल घ ा ट
5758,L O U I S E,ल ु इ स
5759,E Y A B,ए य ब
5760,B H A T N I _ J U N C T I O N,भ ट न ी _ ज ं क ् श न
5761,R U C H I R A,र ु च ि र ा
5762,T E R E _ B I N A _ K Y A _ J E E N A,त े र े _ ब ि न ा _ क ् य ा _ ज ी न ा
5763,M A H A S A T I _ T U L S I,म ह ा स त ी _ त ु ल स ी
5764,E D I N B U R G H,ए ड ि न ब र ् ग
5765,E D I N B U R G H,ए ड ी न ब र ् ग
5766,P Y A R _ K A _ K A R Z,प ् य ा र _ क ा _ क र ् ज ़
5767,T I R U P P A R A M K U N R A M,त ि र ु प ् प र ा म ् क ु ं र म
5768,G H U T A I,घ ु ट ा ई
5769,I S H Q _ P E R _ J O R _ N A H I N,इ श ् क ़ _ प र _ ज़ ो र _ न ह ी ं
5770,R U B I D I U M,र ू ब ी ड ि य म
5771,D H A R M A N A N D,ध र ् म ा न न ् द
5772,K A S A U T I,क स ौ ट ी
5773,U N I V E R S I T Y _ O F _ S T R A T H C L Y D E,य ू न ि व र ् स ि ट ी _ ऑ फ _ स ् ट ् र ै थ क ् ल ा इ ड
5774,S A ' O O D,स ऊ द
5775,D A B I L P U R,द ा ब ि ल प ु र
5776,S H E L L I N G,श ै ल ि ं ग
5777,F A K I H A H,फ क ी ह ा ह
5778,S U N F L A G _ I R O N,स न फ ़ ् ल ै ग _ आ य र न
5779,D V I J A V A H A N,द ् व ि ज व ा ह न
5780,S H A B A R I,श ब र ी
5781,O R D E R _ O F _ T H E _ G O L D E N _ E A G L E,ऑ ड र _ ऑ फ _ द _ ग ो ल ् ड न _ ई ग ल
5782,F O R T _ A S H B Y,फ ो र ् ट _ ऐ श ब ा य
5783,D H E E N A,ध ी न ा
5784,F I R S T _ C A N A D I A N _ P L A C E,फ र ् स ् ट _ क ै न े ड ि य न _ प ् ल े स
5785,N I L E S H _ K U L K A R N I,न ि ल े श _ क ु ल क र ् ण ी
5786,Z A K H M I _ Z A M E E N,ज ़ ख ् म ी _ ज ़ म ी न
5787,P R A C H E T A S,प ् र च े त स
5788,B A N D U G A R,ब ं ड ू ग र
5789,G I R I L A L,ग ि र ि ल ा ल
5790,S H E R D I L,श े र द ि ल
5791,F E N E L L A,फ े न े ल ा
5792,C A R N I G,क ा र ् न ि ग
5793,I S L A M A B A D,इ स ् ल ा म ा ब ा द
5794,C H A N D R,च ं द ् र
5795,K I R L O S K A R _ F E R R O,क ि र ् ल ो स ् क र _ फ ़ े र ो
5796,D E V E N _ D R,द े व े न ् द ् र
5797,B A D A R P U R _ J U N C T I O N,ब द र प ु र _ ज ं क ् श न
5798,K I N T A N,क ि ं त न
5799,D A U L A T A B A D _ F O R T,द ौ ल त ा ब ा द _ फ ो र ् ट
5800,D I L H A R A _ F E R N A N D O,द ि ल ह ा र ा _ फ र ् न े ं ड ो
5801,H A R R I S,ह ै र ी स
5802,A M B I K A A,अ ं ब ि क ा
5803,B E L L E R O P H O N,ब े ल र ो फ ो न
5804,B E L L E R O P H O N,ब े ल े र ो फ ो न
5805,Z A G I R I,ज़ ा ग ी र ी
5806,B I S H A N,ब ि श न
5807,A V A T A A R,अ व त ा र
5808,J O G I N D E R _ S H A R M A,ज ो ग ि ं द र _ श र ् म ा
5809,C H A N D R A M A A,च ं द ् र म ा
5810,K A M A K S H I _ A M M A N,क ा म ा क ् ष ी _ अ म ् म ा न
5811,N A A M _ O _ N I S H A A N,न ा म _ ओ _ न ि श ा न
5812,O R A C L E,ओ र े क ल
5813,L A K S H M I,ल क ् ष ् म ी
5814,A N I S U R _ R A H M A N,अ न ी स ु र _ र ह म ा न
5815,M A D H U R I M A,म ध ु र ि म ा
5816,B A S I M A H,ब स ि म ा ह
5817,T R Y N A,ट ् र ा य न ा
5818,J E N O L E N,ज े न ो ल े न
5819,S U V A R C H A L A A,स ु व र ् च ल ा
5820,M A S U M A H,म ा स ू म
5821,C H E N N A I _ P E T R O,च े न ् न ई _ प े ट ् र ो
5822,K A B I R,क ब ी र
5823,B H E E M A,भ ी म ा
5824,W A H E E D,व ह ी द
5825,U S T A D,उ स ् त ा द
5826,O R D E R _ O F _ T H E _ T H R E E _ S T A R S,ऑ ड र _ ऑ फ़ _ द _ थ ् र ी _ स ् ट ा र ् स
5827,P O T D A R,प ो त द ा र
5828,K A R U N A S H A N K A R,क र ु ण ा श ं क र
5829,S H I L L I N G,श ि ल ि ं ग
5830,T H U R N W A L D,थ ु र ् न व ा ल ् ड
5831,J A L A P U T,ज ा ल ा प ु त
5832,J A C K _ N I C H O L S O N,ज े क _ न ि क ो ल स न
5833,E A S T E R,ई स ् ट र
5834,N A D A L E E N,न ड ा ल ी न
5835,K A V I _ S A M M E L A N,क व ि _ स म ् म े ल न
5836,S A D O O F,स द ू फ
5837,V A I R,व ै र
5838,F O R T _ L A F A Y E T T E,फ ो र ् ट _ ल ै फ ा य े ट ् ‍ ट
5839,P R E T V A M,प ् र ी त व म
5840,B A R A I G R A M _ J U N C T I O N,ब र ा इ ग ् र ा म _ ज ं क ् श न
5841,D H A N W A N,ध न व ा न
5842,N E L L U R,न ै ल ् ल ो र
5843,S H A G I R D,श ा ग ि र ् द
5844,C H E E M A,च ी म ा
5845,Q U T B,क़ ु त ् ब
5846,S I N D H U,स ि ं ध ु
5847,R O C K Y _ M O U N T A I N _ H O U S E,र ॉ क ी _ म ा उ ं ट े न _ ह ा उ स
5848,U D I T I,उ द ि त ि
5849,A N O U S H,ए न ो श
5850,P R O F E S S I O N A L _ W R E S T L I N G,प ् र ो फ े श ् न ल _ र े स ् ल ि ं ग
5851,P H A N I N D R A,फ ण ि ं द ् र
5852,D E V N A T H,द े व न ा थ
5853,N E W D I G A T E _ P R I Z E,न ् य ू ड ि ग े ट _ प ् र ा इ ज़
5854,H A Y A H,ह य ा ह
5855,A N K O L A,अ ं क ो ल ा
5856,G U D U R _ J U N C T I O N,ग ु द ु र _ ज ं क ् श न
5857,A J A Y _ J A D E J A,अ ज य _ ज ड े ज ा
5858,S H Y A A M A K A N T H,श ् य ा म क ं ठ
5859,Z O R I O N,ज ़ ो र ि य न
5860,A B D U L _ M U H A Y A M E E N,अ ब ् द ु ल _ म ु ह ा य म ी न
5861,V A A R U N I,व ा र ु ण ि
5862,K A H A N I _ H U M _ S A B _ K I,क ह ा न ी _ ह म _ स ब _ क ी
5863,A C H A L E S H W A R,अ च ल े श ् व र
5864,C H E M I N _ D E _ F E R _ F O R T,क े म ि न _ ड े _ फ र _ फ ो र ् ट
5865,S O C R A T E S _ S C U L P T U R E _ P A R K,स ॉ क ् र े ट ् स _ स ् क ल ् प च र _ प ा र ् क
5866,S A M R A T,स म ् र ा ट
5867,G O U D Y,ग ॉ ड ी
5868,S A I N T G O B A I N,स े ं ट ग ॉ ब ै न
5869,K H U S H A B O O,ख ु श ब ू
5870,H A W E L I A N A,ह व े ल ि य ा न ा
5871,D H O O N,ध ु न
5872,E T T I F A Q,इ त ् त ि फ ़ ा क ़
5873,N A S H I T,न ा श ि त
5874,N A D E E,न द ी
5875,L U C I L _ B A L L,ल ् य ु स ि ल _ ब ॉ ल
5876,A M A A N A T,अ म ा न त
5877,M U D R A _ C O M M U N I C A T I O N S,म ु द ् र ा _ क म ् य ु न ि क े श न ् स
5878,T A N D I L A T,त ं द ी ल त
5879,T W Y L A,ट ् व ा य ल ा
5880,M A K E N N A,म क े न ् न ा
5881,S W E E K A R _ K I Y A _ M A I N E,स ् व ी क ा र _ क ि य ा _ म ै ं न े
5882,P E N C I L I N A,प े ं स ि ल ि न ा
5883,B U R G E S S,ब र ् ग े स
5884,B H A G W A T I,भ ग व त ी
5885,O N E X,ऑ न े क ् स
5886,V A R I C K,व ै र ि क
5887,A B D U L _ H A S E E B,अ ब ् द ु ल _ ह स ी ब
5888,C H A N D A N,च ं द न
5889,C H A N D A N,च न ् द न
5890,M A D H U M I T A,म ध ु म ि त ा
5891,S U P E R B,स ु प र ् ब
5892,A G N I _ P R E M,अ ग ् न ि _ प ् र े म
5893,K O T H E,क ो ठ े
5894,C H E L S I A,च े ल ् स ि य ा
5895,P A N C H M A H A L,प ं च म ह ल
5896,J A W A H A R L A L _ N E H R U,ज व ा ह र ल ा ल _ न े ह र ू
5897,K E I T H _ F L E T C H E R,क ै थ _ फ ् ल े च र
5898,D I L L A N,ड ि ल ै न
5899,D I L L O N,ड ि ल न
5900,S A N D O V A L,स ै ं ड ो व ल
5901,J Y O T I S H,ज ् य ो त ि ष
5902,C H E R,च े र
5903,M A J O R _ L E A G U E _ L A C R O S S E _ S P O R T S M A N _ O F _ T H E _ Y E A R _ A W A R D,म े ज र _ ल ी ग _ ल ै क ् र ो स _ स ् प ो र ् ट ् ‍ स म ै न _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
5904,U D A Y S A H,उ द ै स ा ह
5905,T E H R A N,त े ह र ा न
5906,J A N E _ A N J A N E,ज ा न े _ अ न ज ा न े
5907,S H I V _ C H A R A N,श ि व _ च र ण
5908,D H A R M A D A S,ध र ् म द ा स
5909,S H A T A Y U,श त ा य ु
5910,K O N - T I K I,क ॉ न - ट ि क ी
5911,H I M A X _ T E C H N O L O G I E S,ह ी म ै क ् स _ ट े क ् न ो ल ॉ ज ी ज ़
5912,P H A T A K,फ ा ट क
5913,R A M E E Z _ R A J A,र म ी ज़ _ र ा ज ा
5914,N A T I O N A L _ F O L K _ M U S E U M,न े श न ल _ फ ो क _ म ् य ु ज़ ि य म
5915,D E E P A K _ F E R T,द ी प क _ फ ़ र ् ट
5916,R O N A D O R,र ो न ा ड र
5917,P R E M _ G E E T,प ् र े म _ ग ी त
5918,P R A J A V A N I,प ् र ज ा व ा ण ि
5919,A B _ I N S A F _ H O G A,अ ब _ इ ं स ा फ _ ह ो ग ा
5920,C O Y L E,क ॉ य ल
5921,B A L L,ब ॉ ल
5922,V I S H R A A N T,व ि श ् र ा ं त
5923,R I Y A L,र ि य ा ल
5924,T U R L E Y,ट र ् ल ी
5925,V E G A,व े ग ा
5926,G A V O T T E,ग ै व ो ट
5927,B A A G H I,ब ा ग ी
5928,S H A H A R _ K A _ J A D U,श ह र _ क ा _ ज ा द ू
5929,B I N I O U,ब ि न ि उ
5930,R A S H E E D,र श ी द
5931,S H R I G E E T A,श ् र ी ग ी त ा
5932,A B H I J A T,आ भ ि ज ा त
5933,P R I T H V I R A J,प ृ थ ् व ी र ा ज
5934,P A R I V A R,प र ि व ा र
5935,S I N G H,स ि ं घ
5936,S A C H C H I T,स च ् च ि त
5937,B H O N G I R,भ ो ं ग ी र
5938,L A Y A K,ल ा य क
5939,M A Y S A,म े स ा
5940,W E S T _ C O A S T _ S W I N G,व े स ् ट _ क ो स ् ट _ स ् व ि ं ग
5941,S U L T A N,स ु ल ् त ा न
5942,P R A G U N,प ् र ग ु न
5943,A R C H E R Y,आ र ् क र ी
5944,N A R A Y A N I,न ा र ा य ण ी
5945,O S A K A,ओ स ा क ा
5946,B H A T I N D A,भ ट ि ं ड ा
5947,B A U D H D H,ब ौ द ् ध
5948,K A U N _ J E E T A _ K A U N _ H A A R A,क ौ न _ ज ी त ा _ क ौ न _ ह ा र ा
5949,S Y L V I A,स ि ल ् व ि य ा
5950,L O N G O N O T,ल ा ँ ग ो न ॉ ट
5951,U R S H I T A,उ र ् श ि त ा
5952,C O L I G N Y,क ो ल ि ग ् न ी
5953,S U D E E P,स ु द ी प
5954,V I S H A Y A,व ि ष य ा
5955,J A H A N _ A R A,ज ह ा ँ _ आ र ा
5956,M U R A D A B A D,म ु र ा द ा ब ा द
5957,B A D E L,ब ड े ल
5958,H A W A L A T,ह व ा ल ा त
5959,W A S I F A H,व ज ़ ी फ ा ह
5960,N O M A _ P R I Z E _ F O R _ L I T E R A T U R E,न ो म ा _ प ् र ा इ ज़ _ फ ॉ र _ ल ि ट ् र े च र
5961,S T E W A R T,स ् ट ी व र ् ट
5962,H E R I O T,ह े र ो इ ट
5963,W O O D W A R D,व ु ड व र ् ड
5964,B E R T _ V A N C E,ब र ् ट _ व ै ं स
5965,S U D I P T I,स ु द ी प ् त ि
5966,E K _ M I S A A L,ए क _ म ि स ा ल
5967,A T R E Y I,अ त ् र े य ी
5968,F A N _ L A U _ F O R T,फ न _ ल ॉ _ फ ो र ् ट
5969,T U R K I S H - T R A N S Y L V A N I A N _ W A R,ट र ् क ि श - ट ् र ा ं स ि ल ् व े न ि य न _ व ा र
5970,G R A C I E,ग ् र े स ी
5971,D A V I D _ B E R N A R D,ड े व ि ड _ ब र न ा र ् ड
5972,H U N T E R W A L I,ह ं ट र व ा ल ी
5973,M A D H Y A M A M,म ध ् य ा म म
5974,N A A G _ M O H I N I,न ा ग _ म ो ह ि न ी
5975,I R O N _ C R O S S,आ इ र न _ क ् र ॉ स
5976,A B R A S H,अ ब र ा श
5977,J A I _ J A G A N N A T H,ज य _ ज ग न ् न ा थ
5978,J Y O T I B A _ P H U L E _ N A G A R,ज ् य ो त ी ब ा _ फ ु ल े _ न ग र
5979,P A D M I N I,प द ् म ि न ी
5980,P A D M I N I,प द ् ‍ म ि न ी
5981,C H A T R A P U R,छ त ् र प ु र
5982,D H U M R,ध ू म ् र
5983,C O N A K R Y,क ो न ा र ् क ी
5984,P R O M E T H E U S,प ् र ो म ि थ े उ स
5985,M A J O R _ L E A G U E _ L A C R O S S E _ C O A C H _ O F _ T H E _ Y E A R _ A W A R D,म े ज र _ ल ी ग _ ल ै क ् र ो स _ क ो च _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
5986,M I S S _ M A R Y,म ि स _ म े र ी
5987,F R A N K _ F U R T,फ ़ ् र ै ं क _ फ ़ र ् ट
5988,B A H A D U R,ब ह ा द ु र
5989,R A M _ B H A R O S E,र ा म _ भ र ो स े
5990,D O _ A A D M I,द ो _ आ द म ी
5991,A L A K H _ N I R A N J A N,अ ल ख _ न ि र ं ज न
5992,H A R E E,ह र ी
5993,D O O J _ K A _ C H A N D,द ू ज _ क ा _ च ा ँ द
5994,A N A P A R T I,अ न ा प र ् त ी
5995,M H A T R E,म ् ह ा त ् र े
5996,A A C H A A R Y N A N D A N,आ च ा र ् य न ं द न
5997,O N A,ओ न ा
5998,A N A,ए न ा
5999,D E C L A N,ड ि क ् ल ै न
6000,C A L V I N E,क ै ल ् व ि न
6001,M A R A S I,म र ा स ी
6002,R U C H I R A _ P E R E R A,र ु च ी र ा _ प र े र ा
6003,O S W A L D _ V E B L E N _ P R I Z E _ I N _ G E O M E T R Y,ऑ स व ल ् ड _ व े ब ् ल े न _ प ् र ा इ ज़ _ इ न _ ज ् य ो म े ट ् र ी
6004,M I A,म ि य ा
6005,M C C A N N,म ै क क े न
6006,M A Q S O O D _ R A N A,म क स ू द _ र ा ण ा
6007,H A N S T E _ A N S O O,ह ँ स त े _ आ ँ स ू
6008,M A P U T O,म े प ट ो
6009,M A N U,म न ु
6010,K H I M S A R,ख ि म स ा र
6011,C O L E S _ M Y E R,क ो ल ् स _ म ै र
6012,C A R L I S L E,क ा र ् ल ि स ल
6013,S A G G A I,स ग ा ई
6014,M A J I D A H,म ा ज ि द ह
6015,A V T A A R,अ व त ा र
6016,R A M S W A R O O P,र ा म स ् व र ू प
6017,S A V U _ S E A,स ा व ू _ स ी
6018,R I T U P A R A N,ऋ त ु प र ् ण
6019,N A T H D W A R A _ T E M P L E,न ा थ द ् व ा र ा _ ट े म ् प ल
6020,B H A D R A V A T I,भ द ् र ा व त ी
6021,B A L Q E E S,ब ल ् क ी स
6022,H U M _ S U B _ U S T A D _ H A I N,ह म _ स ब _ उ स ् त ा द _ ह ै ं
6023,M E T L I F E,म े ट ल ा इ फ
6024,M E T L I F E,म े ट ल ा इ फ ़
6025,B H O L A _ S H A N K A R,भ ो ल ा _ श ं क र
6026,D A L M E R A,ड ल म े र ा
6027,M I T C H,म ि च
6028,D A V I D _ J O S E P H,ड े व ि ड _ ज ो स फ
6029,C H I D A K S H,च ि द ा क ् ष
6030,H I M A T S I N G K A _ S E I,ह ि म त स ि ं ग क ा _ स ी
6031,R A N D G O L D _ R E S O U R C E S _ L I M I T E D,र ै ं ड ग ो ल ् ड _ र ि स ो र ् स े ज ़ _ ल ि म ि ट े ड
6032,J A J J,ज ज ् ज
6033,F A A K H R U D D I N _ G A N J S H A K A R,फ क र ू द ् द ी न _ ग ं ज श ा क र
6034,Y A A C H I S H N U,य ा च ि ष ् ण ु
6035,C A R A C A S,क ा र ा क स
6036,T H A D D E U S,थ ड ् ड े अ स
6037,G U L A B P U R A,ग ु ल ा ब प ु र ा
6038,R E Y N O L D,र े न ॉ ल ् ड
6039,A M M I R A G L I O _ D I _ S A I N T _ B O N,अ म ी र ै ग ल ि य ो _ ड ी _ स े ं ट _ ब ॉ न
6040,M E R A _ N A S E E B,म े र ा _ न स ी ब
6041,F R A N K F U R T,फ ़ ् र ं क फ ़ र ् ट
6042,N A V E E N A,न व ी न ा
6043,S A L E M,स ल े म
6044,K R I S H N A _ K A N H A I Y A,क़ ृ ष ् ण _ क न ् ह ै य ा
6045,D E V D H A R K A R,द े व ध र क र
6046,A N A N Y A A,अ न न ् य ा
6047,M A D A M _ Z A P A T T A,म ै ड म _ ज़ प ा ट ् ट ा
6048,B O T H A,ब ो थ ा
6049,S O P H I A,स ो फ ि य ा
6050,H A N G _ K H E _ R H Y,ह ै ं ग _ क ी _ र ा ई
6051,E R N A,ए र ् न ा
6052,F O R T _ C O R N W A L L I S,फ ो र ् ट _ क ा र ् न व ॉ ल ि स
6053,G U R U D W A R A _ T H A N D A _ B U R J,ग ु र ू द ् व ा र ा _ ठ ं ड ा _ ब ु र ् ज
6054,E C H O _ G E R M A N _ M U S I C _ A W A R D,इ क ो _ ज र ् म न _ म ् य ु ज़ ि क _ अ व ा र ् ड
6055,P R O F E S S O R _ A U R _ J A D U G A R,प ् र ो फ े स र _ औ र _ ज ा द ु ग र
6056,J E R R E L L,ज े र े ल
6057,A M D E K A R,आ म ड े क र
6058,R A J N I G A N D H A,र ज न ी ग ं ध ा
6059,I N T E R N E T _ I N I T I A T I V E _ J A P A N,इ ं ट र न े ट _ इ न ी श ि ए ट ि व _ ज ा प ा न
6060,L Y N N A,ल ा य न ा
6061,M A G N E S I U M,म ै ग ् न ि श ि य म
6062,K I R A N _ B E D I,क ि र ण _ ब े द ी
6063,I N S A N I Y A T _ K E _ D U S H M A N,इ ं स ा न ि य त _ क े _ द ु श ् म न
6064,K E R S H A W,क र ् श ो
6065,C Y B I L L,स ा य ब ि ल
6066,S A A T _ S A M U N D E R _ P A A R,स ा त _ स म ु ं द र _ प ा र
6067,A N N A P U R N A,अ न ् न प ू र ् ण ा
6068,P A I S A _ Y A _ P Y A R,प ै स ा _ य ा _ प ् य ा र
6069,Z A K H A M I _ I N S A A N,ज ़ ख ् म ी _ इ ं स ा न
6070,D A I W A _ H O U S E _ I N D U S T R Y,ड ै व ा _ ह ा उ स _ इ ं ड स ् ट ् र ी
6071,P R O T E C T I O N _ O F _ N A T U R A L _ A M E N I T I E S _ M E D A L,प ् र ो ट ै क ् श न _ ऑ फ _ न ै च ु र ल _ अ म े न ि ट ी स _ म े ड ल
6072,D V O Y A N K A,द व ो य ं क ा
6073,B A Y A N,ब े य ा न
6074,C I T Y G A T E _ T O W E R,स ि ट ी ग े ट _ ट ॉ व र
6075,S A R W A T E,श ो त ् र ी
6076,W Y O M I N G,य ो म ि ं ग
6077,W Y O M I N G,व ् य ो म ि ं ग
6078,T I M _ R O B I N S O N,ट ि म _ र ॉ ब ि ं स न
6079,J E E V A N _ Y A T R A,ज ी व न _ य ा त ् र ा
6080,D O O S R I _ S H A A D I,द ू स र ी _ श ा द ी
6081,P O O J A,प ू ज ा
6082,H E E R O N _ K A _ C H O R,ह ी र ो ं _ क ा _ च ो र
6083,B H U L A _ N A _ D E N A,भ ु ल ा _ न _ द े न ा
6084,A N J A N A,अ ं ज न ा
6085,J I Y A D,ज ि य ा द
6086,S H A U K E E N,श ौ क ी न
6087,U N I V E R S I T Y _ O F _ B R I G H T O N,य ू न ि व र ् स ि ट ी _ ऑ फ _ ब ् र ा इ ट न
6088,I N D A L,इ ं ड ल
6089,B A L R A M P U R _ C H I N I,ब ल र ा म प ु र _ च ी न ी
6090,M R A N A A L I N E E,म ृ ण ा ल ि न ी
6091,F O R T _ F R E D E R I C A,फ ो र ् ट _ फ ् र े ड र ि क ा
6092,C H A A N D,च ा न ् द
6093,J E T T A,ज े ट ् ट ा
6094,T A B A L A H,त ब ा ल ा ह
6095,D E T E C T I V E,ड ि ट े क ् ट ि व
6096,H A S M U K H,ह स म ु ख
6097,A N D Y _ F L O W E R,ए ण ् ड ी _ फ ् ल ा र
6098,L E E L A A R A A M,ल ी ल ा र ा म
6099,H I M A L A Y _ K I _ G O D _ M E I N,ह ि म ा ल य _ क ी _ ग ो द _ म े ं
6100,N O R M A,न ो र ् म ा
6101,D E U T S C H L A N D,ड े ट स ् क ल ै ं ड
6102,S O N I P A T,स ो न ी प त
6103,T E K L A,ट े क ् ल ा
6104,A S H W I N E E,अ श ् व ि न ी
6105,H A R D A N G E R _ F I D D L E,ह ै र ड े ं ज र _ फ ि ड ल
6106,T E E S R A _ K I N A R A,त ी स र ा _ क ि न ा र ा
6107,A D I T Y A _ V I K R A M _ B I R L A _ G R O U P,आ द ि त ् य _ व ि क ् र म _ ब ि ड ़ ल ा _ ग ् र ु प
6108,T A S S O S,ट ै स स
6109,B A L _ Y O G I,ब ा ल _ य ो ग ी
6110,B E G U S A R A I,ब े ग ू स र ा य
6111,G A I N E L L,ग ै न े ल
6112,M A J O R _ L E A G U E _ L A C R O S S E _ O F F E N S I V E _ P L A Y E R _ O F _ T H E _ Y E A R _ A W A R D,म े ज र _ ल ी ग _ ल ै क ् र ो स _ ओ फ े ं स ि व _ प ् ल े य र _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
6113,A T H A R _ L A E E Q,अ थ ा र _ ल ई क
6114,P O I N T E R _ T E L O C A T I O N,प ॉ इ ं ट र _ ट े ल ो क े श न
6115,A B D U R _ R A U F,अ ब ् द ु र _ र ौ फ
6116,K R I S T Y,क ् र ि स ् ट ी
6117,W H E E L C H A I R _ B A S K E T B A L L,व ् ह ी ल च े य र _ ब ा स ् क े ट ब ॉ ल
6118,G H A R O D A,घ र ो ड़ ा
6119,K A M R A N,क ा म र ा न
6120,D O S T _ G A R I B O N _ K A,द ो स ् त _ ग र ी ब ो ं _ क ा
6121,A C H H U T,अ छ ू त
6122,M A C,म ै क
6123,C H I T R A R E K H A,च ि त ् र र े ख ा
6124,R O B I N _ U T H A P P A,र ॉ ब ि न _ उ थ ा प ् प ा
6125,B A J A R A N G A B A L E E,ब ज र ं ग ब ल ी
6126,B I K A N E R,ब ी क ा न े र
6127,A M Y,ए म ी
6128,M O N I R U Z Z A M A N,म ो न ी र ु ज़ ् ज़ ा म न
6129,R A F I Q U L _ I S L A M,र फ ी क ल _ इ स ् ल ा म
6130,N A Q L I _ B A A P,न क ल ी _ ब ा प
6131,D A I N I K _ B H A S K A R,द ै न ‍ ि क _ भ ा स ् क र
6132,P Y A R _ K A _ B A N D H A N,प ् य ा र _ क ा _ ब ं ध न
6133,E K _ T E R I _ N I S H A N I,ए क _ त े र ी _ न ि श ा न ी
6134,M E R L E,म े र ् ल े
6135,O N E G A,उ न े ग ा
6136,S A H O T A,स ा ह ो ट ा
6137,H A R I S H C H A N D R A,ह र ी श च ं द ् र
6138,B A D L A _ A U R _ B A L I D A N,ब द ल ा _ औ र _ ब ल ि द ा न
6139,R A T T U,र त ् त ु
6140,G I B S O N,ग ि ब ् स न
6141,D I R H A M S,द ि र ह ै म ् स
6142,K A R T A V Y A,क र ् त व ् य
6143,A L O K _ I N D U S T R I E S,आ ल ो क _ इ ं ड स ् ट ् र ी ज ़
